Company,Topic,Avg_Probability,Doc_Count
Google,0,0.3711,6
Google,1,0.2323,4
Google,2,0.0242,0
Google,3,0.0818,1
Google,4,0.2584,4
Microsoft,0,0.4226,7
Microsoft,1,0.1385,3
Microsoft,2,0.1024,1
Microsoft,3,0.2812,4
Microsoft,4,0.036,0
Anthropic,0,0.3496,13
Anthropic,1,0.2796,8
Anthropic,2,0.1574,6
Anthropic,3,0.0665,0
Anthropic,4,0.0636,0
