Company,Absent_Term,Count,Per1kTokens
Google,autonomy,2,0.02
Google,openness,0,0.0
Google,fairness,5,0.04
Google,wellbeing,5,0.04
Google,participation,4,0.03
Microsoft,democratic,3,0.02
Microsoft,openness,3,0.02
Microsoft,inclusion,5,0.03
Microsoft,wellbeing,5,0.03
Microsoft,participation,7,0.04
Anthropic,equity,2,0.02
Anthropic,democratic,4,0.04
Anthropic,fairness,2,0.02
Anthropic,inclusion,1,0.01
Anthropic,diversity,3,0.03
