name,n_neighbors,min_dist,min_cluster_size,min_samples,min_topic_size,n_topics,noise_ratio,mean_max_prob,silhouette,davies_bouldin,score
L0_current,10,0.24,3,1,4,5,0.014,0.813,0.063,3.283,0.0582
L5,11,0.26,3,1,4,6,0.083,0.694,0.067,2.905,0.0299
L6,10,0.26,3,1,4,6,0.014,0.65,0.053,3.137,0.0277
L4,11,0.24,3,1,4,8,0.111,0.654,0.079,2.596,0.0165
L3,10,0.22,3,1,4,8,0.056,0.784,0.055,2.791,0.0153
L2,9,0.24,3,1,4,7,0.028,0.749,0.041,2.929,0.0138
L1,9,0.22,3,1,4,6,0.042,0.578,0.039,3.071,0.0012
L7,10,0.24,4,1,5,3,0.056,0.782,0.057,4.117,0.001
